Level,Codes,Onderwerpen,Totaal bedrijven,2-100 FTE,1 FTE,2 FTE,3-5 FTE,5-10 FTE,10-20 FTE,20-50 FTE,50-100 FTE,100+ FTE
2,47,47 Detailhandel (niet in auto's),113350,39995,73045,16375,11900,7475,2465,1425,355,310
1,1,01 Landbouw,70680,33475,37160,19330,9125,3140,1285,510,95,45
2,46,46 Groothandel en handelsbemiddeling,79420,29110,49745,9665,6640,5885,3555,2545,810,565
2,56,56 Eet- en drinkgelegenheden,43830,25515,18235,8625,7140,6200,2670,760,125,80
2,86,86 Gezondheidszorg,92930,18250,74385,6575,5665,4230,1275,400,100,295
3,561,"561 Restaurants, andere eetgelegenheden",25635,17850,7735,5410,5100,4705,1985,550,100,50
4,5610,"5610 Restaurants, andere eetgelegenheden",25635,17850,7735,5410,5100,4705,1985,550,100,50
2,14,014 Veeteelt en fokkerijen,33325,17815,15505,11955,5120,650,70,20,5,5
2,43,43 Gespecialiseerde bouw,82145,16405,65580,6845,3775,2990,1675,875,240,160
3,477,477 Winkels in overige artikelen,29110,14395,14585,5830,4330,2620,1045,460,110,130
2,45,45 Autohandel en -reparatie,30975,11975,18870,4250,3710,2505,980,410,120,130
2,70,70 Holdings en managementadviesbureaus,114105,10635,103345,5840,2015,1375,800,460,145,125
3,141,0141 Melkveehouderij,17790,10565,7225,6875,3360,320,10,5,0,0
5,56101,56101 Restaurants,12990,10280,2690,2240,2760,3205,1575,440,55,20
3,862,862 Medische praktijken,27605,10115,17455,2940,3550,2655,740,185,40,35
2,69,69 Juridische diensten en administratie,47605,10105,37425,4170,2580,2005,845,410,95,75
2,96,96 Overige persoonlijke dienstverlening,71615,9665,61930,4445,3015,1650,405,125,25,20
3,960,960 Wellness en overige dienstverlening,71615,9665,61930,4445,3015,1650,405,125,25,20
3,702,702 Managementadviesbureaus,104920,9460,95415,5310,1830,1220,665,350,80,45
4,7022,7022 Organisatieadviesbureaus e.d.,102085,9065,92975,5135,1745,1155,615,330,80,45
2,62,62 IT-dienstverlening,53825,8575,45080,3175,1805,1590,1065,700,230,170
3,620,620 IT-dienstverlening,53825,8575,45080,3175,1805,1590,1065,700,230,170
3,451,451 Autohandel en -reparatie,20445,8195,12155,2915,2630,1725,595,240,90,95
3,869,869 Overige ambulante gezondheidszorg,65020,8075,56840,3620,2110,1565,520,205,55,105
2,11,011 Teelt van eenjarige gewassen,15650,7960,7670,4235,2110,1005,400,180,40,20
2,41,41 Algemene bouw en projectontwikkeling,62050,7725,54240,3550,1610,1285,730,395,150,85
5,56102,"56102 Snackbars, ijssalons e.d.",12645,7565,5050,3170,2340,1500,410,110,40,30
4,4511,4511 Handel en reparatie personenauto's,18775,7490,11210,2680,2465,1565,515,190,75,75
5,70221,70221 Organisatieadviesbureaus,86280,7465,78775,4345,1390,905,490,270,60,40
5,45112,45112 Handel en reparatie personenauto's,18610,7445,11095,2660,2460,1560,510,185,70,70
3,464,464 Groothandel in non-food,20315,7295,12880,2650,1690,1410,775,575,190,140
4,9602,9602 Kappers en schoonheidsverzorging,54160,7170,46985,3160,2400,1295,265,50,5,5
3,412,412 Algemene B&U-bouw,58215,7110,51020,3245,1465,1195,675,385,150,85
4,4120,4120 Algemene bouw,58215,7110,51020,3245,1465,1195,675,385,150,85
2,71,"71 Architecten-, ingenieursbureaus e.d.",40380,6795,33470,2720,1505,1330,710,405,130,115
2,49,49 Vervoer over land,17150,6760,10160,2080,1470,1270,935,720,285,230
3,433,433 Afwerkingsbedrijven (bouw),43045,6725,36310,3570,1610,955,405,155,35,10
4,8691,8691 Praktijken van paramedici,57290,6675,50605,3075,1800,1340,375,70,15,10
2,68,68 Verhuur en handel van onroerend goed,24395,6610,17700,3325,1810,830,340,215,95,85
3,472,472 Winkels in voedingsmiddelen,10330,6560,3765,2380,2175,1570,375,55,10,5
2,85,85 Onderwijs,66395,6505,59130,3465,1080,705,540,445,275,760
2,81,"81 Schoonmaakbedrijven, hoveniers e.d.",23300,6495,16695,2500,1655,1245,585,380,135,110
3,711,711 Architecten- en ingenieursbureaus,38755,6340,32330,2565,1400,1250,665,360,105,85
3,692,"692 Accountancy, administratie e.d.",30945,6140,24760,2865,1520,1080,410,215,50,45
4,6920,"6920 Accountancy, administratie e.d.",30945,6140,24760,2865,1520,1080,410,215,50,45
5,96021,96021 Kappers,24135,6030,18100,2435,2115,1195,240,50,5,5
3,432,432 Bouwinstallatie,18770,5725,12925,1735,1265,1305,810,465,140,120
3,563,563 Caf�s,9995,5620,4365,2165,1565,1190,530,155,15,10
